,1. open,2. high,3. low,4. close,5. volume,EMA,Volume_Oscillator,RSI,%K,%D,+DI,-DI,ADX,PVT
8665,21.975,21.975,21.97,21.975,5390.0,21.97077204632883,-48.5679661445536,50.0,77.77777777778128,68.39708155568083,12.767039674466416,27.97558494404766,52.22804883252871,-15030.718765688123
8666,21.975,21.98,21.97,21.98,3777.0,21.97384803088589,-64.03131190004571,47.4747474747478,88.88888888889063,82.00000000000169,12.767039674466188,27.97558494404716,51.54835752639407,-15029.859380022595
8667,21.975,21.985,21.975,21.985,7939.0,21.97756535392393,-23.04933604730057,55.31914893616948,100.0,88.8888888888906,15.709812108559298,23.48643006262851,48.86036105233389,-15028.053420058994
8668,21.98,21.985,21.97,21.97,16386.0,21.97504356928262,56.32015772569719,50.0,66.66666666666403,85.18518518518485,15.310274669379348,22.8891149542218,46.17236457827397,-15039.233315442209
8669,21.975,21.975,21.97,21.975,14986.0,21.97502904618841,40.37706156757197,57.57575757575811,77.77777777778128,81.48148148148174,16.130760986066143,18.75669882100665,43.328307715079625,-15035.822755587862
8670,21.975,21.985,21.975,21.975,11563.0,21.97501936412561,8.459727420247438,55.319148936171175,77.77777777778128,74.0740740740755,22.70668176670282,16.98754246885608,40.74741900765719,-15035.822755587862
8671,21.9767,21.98,21.97,21.975,6034.0,21.975012909417075,-42.75495344215015,65.82278481012852,77.77777777778128,77.77777777778128,23.36829836829656,20.396270396271525,37.85429972350884,-15035.822755587862
8672,21.975,21.975,21.96,21.965,10496.0,21.97167527294472,-1.7731248674211746,58.42696629213528,42.85714285714431,66.13756613756892,23.89749702026009,20.858164481526536,33.29242783193483,-15040.599092334163
8673,21.965,21.965,21.955,21.96,46537.0,21.96778351529648,308.3112279665305,50.0,28.57142857143292,49.73544973545281,20.823095823093848,24.570024570026693,29.66927928651197,-15051.192536449802
8674,21.965,21.965,21.95,21.955,11842.0,21.96352234353099,2.6159469791610994,44.04761904761809,14.285714285711384,28.571428571429507,18.995765275254776,27.22323049001983,27.15585627157397,-15053.888802387874
8675,21.955,21.9561,21.95,21.9561,8951.0,21.961048229020665,-20.32270890327635,40.05102040816406,17.428571428571342,20.09523809523852,14.807930607184929,27.881040892195266,25.809991466444533,-15053.440335068355
8676,21.955,21.955,21.955,21.955,1465.0,21.959032152680443,-86.93224390766046,43.13186813186747,14.285714285711384,15.333333333331336,15.672131147538687,29.50819672131357,24.666047576893064,-15053.513731527655
8677,21.95,21.955,21.945,21.955,13999.0,21.957688101786964,22.90336033010689,46.04105571847414,24.99999999999556,18.9047619047594,15.17460317460107,31.74603174603325,23.63310973212326,-15053.513731527655
